Variable,CommonName,ScientificName,Data_Type,Classification,Targeted
site_number,Site Number,SiteNumber,Categorical,Meta data,Categorical
island_code,Island Code,IslandCode,Categorical,Meta data,Categorical
island_name,Island Name,IslandName,Categorical,Meta data,Categorical
site_code,Site Code,SiteCode,Categorical,Meta data,Categorical
site_name,Site Name,SiteName,Categorical,Meta data,Categorical
survey_year,Survey Year,SurveyYear,Categorical,Meta data,Categorical
reserve_status,Reserve Status,ReserveStatus,Categorical,Meta data,Categorical
reference,Reference,Reference,Categorical,Meta data,Categorical
giant_kelp_cover,giant kelp cover,giant kelp cover,Percent Cover,Algae,Targeted
California_sea_palm_cover,California sea palm cover,California sea palm cover,Percent Cover,Algae,Non-targeted
Southern_sea_palm_cover,Southern sea palm cover,Southern sea palm cover,Percent Cover,Algae,Non-targeted
oar_weed_cover,oar weed cover,oar weed cover,Percent Cover,Algae,Non-targeted
brown_algae,brown algae,Phaeophyta,Percent Cover,Algae,Non-targeted
bladder_chain_kelp,bladder chain kelp,Cystoseira,Percent Cover,Algae,Non-targeted
red_algae,red algae,Rhodophyta,Percent Cover,Algae,Non-targeted
articulated_coralline_algae,articulated coralline algae,articulated coralline algae,Percent Cover,Algae,Non-targeted
encrusting_coralline_algae,encrusting coralline algae,encrusting coralline algae,Percent Cover,Algae,Non-targeted
sea_tongue,sea tongue,Gigartina,Percent Cover,Algae,Non-targeted
orange_cup_coral,orange cup coral,Balanophyllia elegans,Percent Cover,Invertebrate,Non-targeted
La_Jolla_cup_coral,La Jolla cup coral,Astrangia lajollaensis,Percent Cover,Invertebrate,Non-targeted
ornate_tube_worm,ornate tube worm,Diopatra ornata,Percent Cover,Invertebrate,Non-targeted
scaled_wormsnail,scaled wormsnail,Serpulorbis squamigerus,Percent Cover,Invertebrate,Non-targeted
tunicates,tunicates,Tunicata,Percent Cover,Invertebrate,Non-targeted
Misc_Inverts,Misc Inverts,Misc Inverts,Percent Cover,Invertebrate,Non-targeted
acid_weed,acid weed,Desmarestia,Percent Cover,Algae,Non-targeted
green_algae,green algae,Chlorophyta,Percent Cover,Algae,Non-targeted
agar_weed,agar weed,Gelidium,Percent Cover,Algae,Non-targeted
miscellaneous_plants,miscellaneous plants,Plantae,Percent Cover,Algae,Non-targeted
sponges,sponges,Porifera,Percent Cover,Invertebrate,Non-targeted
club_tipped_anemone,club-tipped anemone,Corynactis californicus,Percent Cover,Invertebrate,Non-targeted
colonial_sand_tube_worm,colonial sand-tube worm,Phragmatopoma californica,Percent Cover,Invertebrate,Non-targeted
