ScientificName,common_name,classification,measurement,a,b
Acarnus sp.,NA,invert,percent cover,NA,0.803
Cliona celata,NA,invert,percent cover,NA,0.918
Halichondria panicea,NA,invert,percent cover,NA,2.335
Leucilla nuttingi,NA,invert,percent cover,NA,0.193
Tethya aurantia,orange puffball sponge,invert,diameter,0.003,2.471
Abietinaria sp.,NA,invert,percent cover,NA,0.049
Aglaophenia sp.,NA,invert,percent cover,NA,0.217
Anthopleura artemisia,NA,invert,disc diameter,0.027,1.492
Astrangia lajollaensis,La Jolla cup coral,invert,percent cover,NA,0.048
Balanophyllia elegans,orange cup coral,invert,disc diameter,0.006,2.001
Corynactis californicus,club-tipped anemone,invert,percent cover,NA,0.284
Epiactis prolifera,NA,invert,percent cover,NA,0.349
Hydractinia milleri,NA,invert,percent cover,NA,0.03
Lophogorgia chilensis,red gorgonian,invert,colony width,0.018,1.529
Muricea californica,California golden gorgonian,invert,colony width,0.002,2.001
Muricea fruticosa,brown gorgonian,invert,colony width,0.002,2.001
Pachycerianthus fimbriatus,NA,invert,disc diameter,0.11,1.597
Paracyathus stearnsii,NA,invert,percent cover,NA,0.545
Phyllactis spp.,NA,invert,disc diameter,0.006,1.799
Plumularia sp.,NA,invert,percent cover,NA,0.012
Urticina lofotensis,white-spotted rose anemone,invert,disc diameter,0.39,1.04
Cirriformia luxuriosa,NA,invert,percent cover,NA,0.195
Dodecaceria fewkesi,NA,invert,percent cover,NA,0.322
Eudistylia polymorpha,NA,invert,body diameter,0.23,1.426
Phragmatopoma californica,colonial sand-tube worm,invert,percent cover,NA,0.014
Salmacina tribranchiata,NA,invert,percent cover,NA,2.307
Aplysia californica,California brown sea hare,invert,retracted length,0.19,1.575
Calliostoma tricolor,NA,invert,shell length,1.30E-04,3.36
Chaceia ovoidea,NA,invert,siphon diameter,5.9,1.058
Conus californicus,NA,invert,shell length,7.50E-04,2.578
Crassedoma giganteum,rock scallop,invert,shell length,9.60E-04,2.733
Cypraea spadicea,chestnut cowrie,invert,shell length,0.006,2.114
Doriopsilla albopunctata,NA,invert,retracted length,1.30E-04,2.801
Haliotis rufescens,red abalone,invert,shell length,4.20E-04,2.797
Kelletia kelletii,Kellet's whelk,invert,shell length,1.50E-04,2.932
Lithophaga plumula,NA,invert,siphon diameter,0.89,1.031
Lithopoma gibberosa,red turban snail,invert,shell length,6.50E-04,2.823
Megathura crenulata,giant keyhole limpet,invert,body length,0.025,1.932
Mitra idae,NA,invert,shell length,9.70E-04,2.377
Mytilus californianus,NA,invert,shell length,0.002,2.078
Mytilus galloprovincialis,NA,invert,shell length,1.20E-05,3.382
Norrisia norrisi,NA,invert,shell length,0.001,2.676
Octopus bimaculoides,NA,invert,arm length,0.023,1.631
Parapholas californica,NA,invert,siphon diameter,4.4,0.919
Peltodoris nobilis,NA,invert,retracted length,0.002,2.267
Pteropurpura trialata,NA,invert,shell length,8.20E-04,2.366
Serpulorbis squamiger,NA,invert,percent cover,NA,0.571
Tegula brunnea,NA,invert,shell length,0.004,2.365
Balanus glandula,NA,invert,percent cover,NA,0.685
Loxorhynchus grandis carapace,NA,invert,diameter,0.08,1.973
Panulirus interruptus,California spiny lobster,invert,carapace length,0.001,2.914
Pugettia producta carapace,NA,invert,diameter,0.001,2.51
Bugula californica,NA,invert,percent cover,NA,0.392
Bugula neritina,NA,invert,percent cover,NA,0.189
Cellaria sp.,NA,invert,percent cover,NA,0.164
Diaperoecia californica,Southern staghorn bryozoan,invert,percent cover,NA,0.893
Thalamoporella californica,NA,invert,percent cover,NA,0.594
Cucumaria piperata,NA,invert,retracted length,0.001,2.18
Cucumaria salma,NA,invert,tentacle diameter,0.36,1.017
Dermasterias imbricata,NA,invert,body diameter,7.7,0.701
Eupentacta quinquesemita,NA,invert,retracted length,7.80E-04,2.235
Lissothuria nutriens,NA,invert,retracted length,0.002,2.196
Lytechinus anamesus,white sea urchin,invert,test diameter,3.20E-04,3.044
Ophioplocus esmarki,NA,invert,disc diameter,0.004,2.253
Ophiothrix spiculata,spiny brittle star,invert,disc diameter,0.005,2.318
Pachythyone rubra,aggregated red sea cucumber,invert,retracted length,8.20E-04,2.136
Parastichopus californicus,NA,invert,retracted length,0.082,1.539
Parastichopus parvimensis,warty sea cucumber,invert,retracted length,0.009,2.123
Patiria miniata,bat star,invert,body diameter,1.40E-04,2.712
Pisaster brevispinus,NA,invert,body diameter,0.002,2.147
Pisaster giganteus,giant-spined sea star,invert,body diameter,0.01,1.773
Pisaster ochraceus,ochre sea star,invert,body diameter,2.20E-04,2.592
Pycnopodia helianthoides,sunflower star,invert,body diameter,3.70E-05,2.97
Strongylocentrotus franciscanus,red sea urchin,invert,test diameter,5.90E-04,2.917
Strongylocentrotus purpuratus,purple sea urchin,invert,test diameter,5.90E-04,2.87
Archidistoma psammion,NA,invert,percent cover,NA,1.37
Chelyosoma productum,NA,invert,percent cover,NA,0.718
Clavelina huntsmani,NA,invert,percent cover,NA,0.379
Cystodytes lobatus,NA,invert,percent cover,NA,0.922
Euherdmania claviformis,NA,invert,percent cover,NA,0.792
Polyclinum planum,NA,invert,body length,0.002,2.224
Pycnoclavella stanleyi,NA,invert,percent cover,NA,0.449
Ritterella aequalisiphonis,NA,invert,percent cover,NA,1.423
Styela montereyensis,stalked tunicate,invert,siphon diameter,0.029,2.211
Trididemnun opacum,NA,invert,percent cover,NA,0.423
Megastraea undosa,wavy turban snail,invert,shell length,6.50E-04,2.823
Tegula regina,queen tegula,invert,shell length,6.50E-04,2.823
Macrocystis pyrifera,giant kelp,algae,stipe density,NA,0.008477333
Haliotis fulgens,green abalone,invert,shell length,4.20E-04,2.797
Haliotis corrugata,pink abalone,invert,shell length,4.20E-04,2.797
Alloclinus holderi,island kelpfish,fish,total length,0.008303,3.089
Anarrhichthys ocellatus,wolf eel,fish,total length,0.01289,2.9
Anisotremus davidsonii,sargo,fish,total length,0.0152,3.056
Apodichthys flavidus,NA,fish,total length,0.001504474,3.296
Artedius corallinus,coralline sculpin,fish,total length,0.015796077,2.958
