"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1996,7/22/1996 0:00:00,44.00,0.21,0.24,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1997,7/7/1997 0:00:00,53.00,0.26,0.29,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1998,7/6/1998 0:00:00,22.00,0.10,0.19,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1999,6/28/1999 0:00:00,40.00,0.20,0.23,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2000,6/26/2000 0:00:00,1.00,4.99999988824129e-03,0.03,4.99999988824129e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2001,7/16/2001 0:00:00,16.00,0.07,0.19,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2002,7/22/2002 0:00:00,33.00,0.16,0.25,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2003,9/8/2003 0:00:00,86.00,0.43,0.42,0.06,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2004,7/26/2004 0:00:00,58.00,0.28,0.33,0.05,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2005,8/8/2005 0:00:00,24.00,0.11,0.16,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2006,9/11/2006 0:00:00,75.00,0.37,0.24,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2007,7/9/2007 0:00:00,109.00,0.54,0.41,0.06,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2008,9/8/2008 0:00:00,66.00,0.33,0.24,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2009,8/17/2009 0:00:00,66.00,0.33,0.28,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2010,7/26/2010 0:00:00,48.00,0.23,0.21,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2011,9/15/2011 0:00:00,47.00,0.23,0.27,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2012,7/25/2012 0:00:00,21.00,0.10,0.15,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2013,10/19/2013 0:00:00,104.00,0.51,0.35,0.05,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2014,10/1/2014 0:00:00,43.00,0.21,0.21,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2015,9/15/2015 0:00:00,40.00,0.20,0.20,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2016,8/10/2016 0:00:00,21.00,0.10,0.13,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2017,7/27/2017 0:00:00,95.00,0.47,0.41,0.06,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2018,9/26/2018 0:00:00,13.00,0.06,0.13,0.02,40,200.00
