"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","TransectsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2013,10/20/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2018,9/26/2018 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2013,10/20/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1983,7/26/1983 0:00:00,32.00,0.07,0.06,0.02,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1984,7/11/1984 0:00:00,31.00,0.07,0.07,0.02,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1985,6/26/1985 0:00:00,39.00,0.05,0.06,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1986,7/8/1986 0:00:00,88.00,0.12,0.06,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1987,8/11/1987 0:00:00,73.00,0.10,0.08,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1988,7/27/1988 0:00:00,95.00,0.13,0.09,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1989,8/16/1989 0:00:00,45.00,0.06,0.05,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1990,7/24/1990 0:00:00,33.00,0.04,0.05,0.01,12,720.00
