"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","TotalCount","MeanSize","MinSize","MaxSize"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2007,2,20,11,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2007,10,23,7,42
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2007,685,7,4,15
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2007,2,24,22,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2007,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2007,1,36,36,36
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2007,14,26,12,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2007,71,5,2,7
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2007,1,28,28,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2007,2,36,22,44
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2007,8,28,17,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2007,2,28,10,47
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2007,8,27,8,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2007,3,6,6,6
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2007,1,30,10,50
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2007,1,18,7,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2008,1,24,20,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2008,3,20,8,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2008,1,15,15,15
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2008,14,22,6,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2008,1,31,22,42
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2008,1,23,14,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2008,1,48,48,48
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2008,21,27,22,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2008,1,12,12,12
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2008,1,10,10,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2008,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2009,1,28,27,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2009,4,15,9,29
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2009,20,6,5,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2009,1,27,27,27
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2009,32,22,6,31
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2009,49,6,5,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2009,1,34,24,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2009,4,22,7,33
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2009,5,28,5,50
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2009,3,28,24,34
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2009,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2009,1,24,24,24
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2010,4,24,9,33
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2010,0,,,
