"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","DimensionsMeasured","MeanDimensions","MinDimensions","MaxDimensions","TotalCount"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",15.29,1,50,93
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",22.59,1,75,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1986,"Stipe_Count",4.50,1,12,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1987,"Stipe_Count",16.40,1,53,92
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1988,"Stipe_Count",7.61,1,41,96
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1989,"Stipe_Count",5.95,1,16,80
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,"Stipe_Count",11.13,2,32,126
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,"Stipe_Count",14.66,2,49,50
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",17.77,1,77,104
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",14.01,1,51,85
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",14.33,1,38,81
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,"Stipe_Count",7.98,1,29,87
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1996,"Stipe_Count",8.79,1,35,89
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1997,"Stipe_Count",6.43,1,24,101
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,"Stipe_Count",15.40,1,57,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1999,"Stipe_Count",14.83,1,74,107
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2000,"Stipe_Count",3.51,1,14,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2001,"Stipe_Count",9.06,1,38,150
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2002,"Stipe_Count",10.91,1,49,114
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",10.57,1,34,78
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",19.44,2,59,102
