"SiteNumber","SiteCode","IslandCode","Species","ScientificName","CommonName","SurveyYear","MeanSize","MinSize","MaxSize","TotalCount"
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1982,,,,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1983,,,,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1984,,,,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1985,0.00,0.00,0.00,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1986,43.86,12.00,71.00,37.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1987,54.70,17.00,122.00,31.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1988,62.03,26.00,119.00,33.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1989,64.54,30.00,90.00,31.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1990,78.03,25.00,122.00,31.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1991,72.53,25.00,112.00,28.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1992,67.33,18.00,127.00,30.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1993,76.81,39.00,191.00,32.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1994,60.31,13.00,117.00,60.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1995,64.42,14.00,123.00,71.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1996,64.82,18.00,113.00,57.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1997,51.17,19.00,83.00,40.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1998,59.92,14.00,98.00,57.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",1999,67.10,16.00,119.00,74.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2000,62.93,25.00,118.00,82.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2001,68.04,31.00,106.00,46.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2002,0.00,0.00,0.00,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2003,66.37,30.00,112.00,61.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2004,70.22,23.00,122.00,77.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2005,0.00,0.00,0.00,0.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2006,74.19,36.00,120.00,31.00
