"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1985,6/26/1985 0:00:00,0.10,0.50,0.10,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1986,7/9/1986 0:00:00,0.20,1.00,0.20,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1987,8/11/1987 0:00:00,0.00,0.00,0.00,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1988,7/27/1988 0:00:00,0.20,0.69,0.13,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1989,8/16/1989 0:00:00,0.30,0.82,0.16,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1990,7/24/1990 0:00:00,0.00,0.00,0.00,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1991,7/23/1991 0:00:00,0.10,0.50,0.10,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1992,9/16/1992 0:00:00,0.00,0.00,0.00,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1993,7/14/1993 0:00:00,0.60,1.65,0.33,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1994,7/12/1994 0:00:00,0.00,0.00,0.00,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1995,8/21/1995 0:00:00,0.20,0.69,0.13,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1996,7/22/1996 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1997,7/7/1997 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1998,7/6/1998 0:00:00,1.50,3.24,0.83,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",1999,6/28/1999 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2000,6/26/2000 0:00:00,0.66,1.48,0.38,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2001,7/16/2001 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2002,7/22/2002 0:00:00,0.33,0.87,0.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2003,9/8/2003 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2004,7/26/2004 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2005,8/8/2005 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2006,9/11/2006 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2007,7/9/2007 0:00:00,0.33,0.87,0.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2008,9/8/2008 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2009,8/17/2009 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2010,7/26/2010 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2011,9/15/2011 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2012,7/25/2012 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2013,10/19/2013 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2014,10/1/2014 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2015,9/15/2015 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2016,8/10/2016 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2017,7/27/2017 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2018,9/26/2018 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1001.00,"Chlorophyta","green algae",2019,9/24/2019 0:00:00,1.16,2.28,0.59,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1982,8/18/1982 0:00:00,3.59,5.10,1.02,25,5.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1983,7/26/1983 0:00:00,90.34,21.46,3.98,29,2.90
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1984,7/12/1984 0:00:00,12.00,11.77,3.72,10,5.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1985,6/26/1985 0:00:00,0.20,0.69,0.13,25,10.00
