"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","SurveyYear","SurveyDate","Species","ScientificName","CommonName","Transect","Count_A","Count_B"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1986,7/9/1986 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1986,8/19/1986 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1987,8/11/1987 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1987,9/29/1987 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,1.00,1.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1988,7/27/1988 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1988,9/21/1988 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1989,8/17/1989 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1989,9/14/1989 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1990,7/24/1990 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1990,9/25/1990 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1991,7/23/1991 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1991,10/16/1991 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1992,9/16/1992 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1993,7/14/1993 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1993,9/14/1993 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1994,7/12/1994 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1994,9/27/1994 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1995,8/23/1995 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1995,9/28/1995 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1996,7/23/1996 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1996,9/18/1996 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1997,7/8/1997 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1997,9/24/1997 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1998,7/7/1998 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1998,9/15/1998 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1999,6/30/1999 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1999,9/15/1999 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2000,6/28/2000 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2000,8/30/2000 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001,7/17/2001 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001,9/18/2001 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,7/25/2002 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,9/26/2002 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003,9/9/2003 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003,9/25/2003 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,0.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2004,7/28/2004 0:00:00,14001.00,"Chromis punctipinnis","blacksmith, adult",1,0.00,
