site_number,island_code,island_name,site_code,site_name,survey_year,shannon_index,reserve_status,mean_depth,reference,reserve_year,simpson_index,latitude,longitude,date
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1.1764683755938126,Outside,43.27,FALSE,Outside,0.4896697359666934,34.02236667,-120.3874667,1982-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,2.165005332068602,Outside,43.27,FALSE,Outside,0.6674725532219465,34.02236667,-120.3874667,1983-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,2.162036387968692,Outside,43.27,FALSE,Outside,0.7877056475365314,34.02236667,-120.3874667,1984-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,2.1353965722459134,Outside,43.27,FALSE,Outside,0.8083639726629502,34.02236667,-120.3874667,1985-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,2.286522388198376,Outside,43.27,FALSE,Outside,0.7867134621695343,34.02236667,-120.3874667,1986-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,2.0002112570169395,Outside,43.27,FALSE,Outside,0.8143744039286007,34.02236667,-120.3874667,1987-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,2.158324773835954,Outside,43.27,FALSE,Outside,0.7790283214348904,34.02236667,-120.3874667,1988-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,2.249901590216514,Outside,43.27,FALSE,Outside,0.771773064244607,34.02236667,-120.3874667,1989-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,2.1704113318585763,Outside,43.27,FALSE,Outside,0.714742579001355,34.02236667,-120.3874667,1990-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,2.149366352542712,Outside,43.27,FALSE,Outside,0.7928641407324686,34.02236667,-120.3874667,1991-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,2.0069218179390993,Outside,43.27,FALSE,Outside,0.8108852795211321,34.02236667,-120.3874667,1992-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1.9773249787044658,Outside,43.27,FALSE,Outside,0.8293528547057291,34.02236667,-120.3874667,1993-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1.8984983247875895,Outside,43.27,FALSE,Outside,0.8337852723466141,34.02236667,-120.3874667,1994-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,2.0664671353387103,Outside,43.27,FALSE,Outside,0.8351849041956239,34.02236667,-120.3874667,1995-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1.8954380752183906,Outside,43.27,FALSE,Outside,0.836032328552937,34.02236667,-120.3874667,1996-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,2.0055554840655323,Outside,43.27,FALSE,Outside,0.8463622866351024,34.02236667,-120.3874667,1997-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,2.1881757849002064,Outside,43.27,FALSE,Outside,0.8725010785980992,34.02236667,-120.3874667,1998-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1999,2.1897162459253923,Outside,43.27,FALSE,Outside,0.8758611368674448,34.02236667,-120.3874667,1999-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2000,2.3575847430016363,Outside,43.27,FALSE,Outside,0.8465113983862433,34.02236667,-120.3874667,2000-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,2.3142805466317364,Outside,43.27,FALSE,Outside,0.8184518387352008,34.02236667,-120.3874667,2001-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,2.248810231914656,Outside,43.27,FALSE,Outside,0.8373727044678922,34.02236667,-120.3874667,2002-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,2.1439731041888566,Outside,43.27,FALSE,Outside,0.8778639163786087,34.02236667,-120.3874667,2003-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2.6716523193654615,Outside,43.27,FALSE,Outside,0.8720724907636682,34.02236667,-120.3874667,2004-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2.804441144698966,Outside,43.27,FALSE,Outside,0.8613140817201177,34.02236667,-120.3874667,2005-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2.505225797322097,Outside,43.27,FALSE,Outside,0.8498610013362685,34.02236667,-120.3874667,2006-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2.531956937160282,Outside,43.27,FALSE,Outside,0.8732608417885437,34.02236667,-120.3874667,2007-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2008,0.9911720845342246,Outside,43.27,FALSE,Outside,0.8530690087442182,34.02236667,-120.3874667,2008-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2009,2.6112173862579393,Outside,43.27,FALSE,Outside,0.861325494558383,34.02236667,-120.3874667,2009-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,2.5426557925433313,Outside,43.27,FALSE,Outside,0.8659859501986961,34.02236667,-120.3874667,2010-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2011,2.3127928461657015,Outside,43.27,FALSE,Outside,0.8811372382392241,34.02236667,-120.3874667,2011-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,2.3203394802971804,Outside,43.27,FALSE,Outside,0.8578955979318805,34.02236667,-120.3874667,2012-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,2.7707832474859644,Outside,43.27,FALSE,Outside,0.8725736954638034,34.02236667,-120.3874667,2013-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,2.8142765445144406,Outside,43.27,FALSE,Outside,0.8231045690951454,34.02236667,-120.3874667,2014-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2015,2.47142468301477,Outside,43.27,FALSE,Outside,0.8411172966131236,34.02236667,-120.3874667,2015-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,2.653761937983214,Outside,43.27,FALSE,Outside,0.8167633675497394,34.02236667,-120.3874667,2016-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2017,2.4058702265724023,Outside,43.27,FALSE,Outside,0.8496752966384769,34.02236667,-120.3874667,2017-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2018,2.4100330358460433,Outside,43.27,FALSE,Outside,0.7387844479248773,34.02236667,-120.3874667,2018-07-01
1,SM,San Miguel Island,WL,Wyckoff Ledge,2019,1.922430909914831,Outside,43.27,FALSE,Outside,0.6115495052235799,34.02236667,-120.3874667,2019-07-01
2,SM,San Miguel Island,HR,Hare Rock,1982,1.1966882516074475,Outside,20.5,FALSE,2003,0.7271364788620563,34.06438333,-120.3566,1982-07-01
2,SM,San Miguel Island,HR,Hare Rock,1983,1.7136822722490925,Outside,20.5,FALSE,2003,0.7118809799164403,34.06438333,-120.3566,1983-07-01
2,SM,San Miguel Island,HR,Hare Rock,1984,1.5167174752394366,Outside,20.5,FALSE,2003,0.572407976198873,34.06438333,-120.3566,1984-07-01
2,SM,San Miguel Island,HR,Hare Rock,1985,1.352784376654469,Outside,20.5,FALSE,2003,0.6816740124794722,34.06438333,-120.3566,1985-07-01
2,SM,San Miguel Island,HR,Hare Rock,1986,1.198212628778024,Outside,20.5,FALSE,2003,0.7528974622099609,34.06438333,-120.3566,1986-07-01
2,SM,San Miguel Island,HR,Hare Rock,1987,1.5859788168013038,Outside,20.5,FALSE,2003,0.6277741905899943,34.06438333,-120.3566,1987-07-01
2,SM,San Miguel Island,HR,Hare Rock,1988,1.739957153034665,Outside,20.5,FALSE,2003,0.7289273108079177,34.06438333,-120.3566,1988-07-01
2,SM,San Miguel Island,HR,Hare Rock,1989,1.6408247041421333,Outside,20.5,FALSE,2003,0.7230054615619631,34.06438333,-120.3566,1989-07-01
2,SM,San Miguel Island,HR,Hare Rock,1990,1.4602649356516375,Outside,20.5,FALSE,2003,0.8511290270449652,34.06438333,-120.3566,1990-07-01
2,SM,San Miguel Island,HR,Hare Rock,1991,1.6482129173538478,Outside,20.5,FALSE,2003,0.7006275803435823,34.06438333,-120.3566,1991-07-01
2,SM,San Miguel Island,HR,Hare Rock,1992,1.5738807707722111,Outside,20.5,FALSE,2003,0.6684802056756198,34.06438333,-120.3566,1992-07-01
2,SM,San Miguel Island,HR,Hare Rock,1993,1.772642125873067,Outside,20.5,FALSE,2003,0.7455006959903328,34.06438333,-120.3566,1993-07-01
2,SM,San Miguel Island,HR,Hare Rock,1994,1.7993657560085188,Outside,20.5,FALSE,2003,0.650793366110601,34.06438333,-120.3566,1994-07-01
2,SM,San Miguel Island,HR,Hare Rock,1995,1.5315468880915606,Outside,20.5,FALSE,2003,0.5725679660862008,34.06438333,-120.3566,1995-07-01
2,SM,San Miguel Island,HR,Hare Rock,1996,1.5735808080999654,Outside,20.5,FALSE,2003,0.6247429612164539,34.06438333,-120.3566,1996-07-01
2,SM,San Miguel Island,HR,Hare Rock,1997,1.4712511965369988,Outside,20.5,FALSE,2003,0.5855411561341866,34.06438333,-120.3566,1997-07-01
2,SM,San Miguel Island,HR,Hare Rock,1998,1.7829282294151254,Outside,20.5,FALSE,2003,0.5756472731985585,34.06438333,-120.3566,1998-07-01
2,SM,San Miguel Island,HR,Hare Rock,1999,1.3469880631237436,Outside,20.5,FALSE,2003,0.6582203440448535,34.06438333,-120.3566,1999-07-01
2,SM,San Miguel Island,HR,Hare Rock,2000,1.2396404555607938,Outside,20.5,FALSE,2003,0.6989276923625727,34.06438333,-120.3566,2000-07-01
2,SM,San Miguel Island,HR,Hare Rock,2001,1.730022659410616,Outside,20.5,FALSE,2003,0.7450374457679436,34.06438333,-120.3566,2001-07-01
2,SM,San Miguel Island,HR,Hare Rock,2002,1.694405780074453,Outside,20.5,FALSE,2003,0.7633467307735167,34.06438333,-120.3566,2002-07-01
2,SM,San Miguel Island,HR,Hare Rock,2003,2.223142589518431,Inside,20.5,FALSE,2003,0.8033298495185894,34.06438333,-120.3566,2003-07-01
2,SM,San Miguel Island,HR,Hare Rock,2004,2.733006084078439,Inside,20.5,FALSE,2003,0.85527611853395,34.06438333,-120.3566,2004-07-01
2,SM,San Miguel Island,HR,Hare Rock,2005,2.441726470008419,Inside,20.5,FALSE,2003,0.806521644509459,34.06438333,-120.3566,2005-07-01
2,SM,San Miguel Island,HR,Hare Rock,2006,2.2868609447209205,Inside,20.5,FALSE,2003,0.8495373411334038,34.06438333,-120.3566,2006-07-01
2,SM,San Miguel Island,HR,Hare Rock,2007,2.70115820355512,Inside,20.5,FALSE,2003,0.8328440958786493,34.06438333,-120.3566,2007-07-01
2,SM,San Miguel Island,HR,Hare Rock,2008,2.5228916857564356,Inside,20.5,FALSE,2003,0.5732235000807755,34.06438333,-120.3566,2008-07-01
2,SM,San Miguel Island,HR,Hare Rock,2009,2.342443307743418,Inside,20.5,FALSE,2003,0.524406515515679,34.06438333,-120.3566,2009-07-01
2,SM,San Miguel Island,HR,Hare Rock,2010,2.4077030512917132,Inside,20.5,FALSE,2003,0.4211782273261816,34.06438333,-120.3566,2010-07-01
2,SM,San Miguel Island,HR,Hare Rock,2011,2.2670054493631544,Inside,20.5,FALSE,2003,0.6083539515841938,34.06438333,-120.3566,2011-07-01
2,SM,San Miguel Island,HR,Hare Rock,2012,2.7680769273131642,Inside,20.5,FALSE,2003,0.3646109598376276,34.06438333,-120.3566,2012-07-01
2,SM,San Miguel Island,HR,Hare Rock,2013,2.3600262872773565,Inside,20.5,FALSE,2003,0.47979759709458214,34.06438333,-120.3566,2013-07-01
