site_number,island_code,island_name,site_code,site_name,survey_year,reserve_status,reference,giant_kelp,red_gorgonian,brown_gorgonian,California_golden_gorgonian,chestnut_cowrie,wavy_turban_snail,red_turban_snail,queen_tegula,bat_star,giant_spined_sea_star,red_sea_urchin,purple_sea_urchin,warty_sea_cucumber,ochre_sea_star,orange_puffball_sponge,red_abalone,pink_abalone,green_abalone,Kellets_whelk,giant_keyhole_limpet,rock_scallop,sunflower_star,white_sea_urchin,Total_benthic,Non_targeted_invert,Targeted_invert,Carnivorous_invert,Herbivorous_invert,Planktivorous_invert,blacksmith,black_surfperch,striped_surfperch,opaleye,rock_wrasse,garibaldi,lingcod,senorita,kelp_bass,rubberlip_surfperch,pile_perch,cabezon,kelp_rockfish,black_and_yellow_rockfish,blue_rockfish,olive_rockfish,treefish,California_sheephead_female,California_sheephead_male,ocean_whitefish,halfmoon,California_scorpionfish,Total_fish,Non_targeted_fish,Targeted_fish,Carnivorous_fish,Herbivorous_fish,Piscivorous_fish,Planktivorous_fish,Total_mixed,Non_targeted_mixed,Targeted_mixed,Carnivorous_mixed,Herbivorous_mixed,Planktivorous_mixed,Southern_sea_palm_adult,Southern_sea_palm_juvenile,California_sea_palm_adult,California_sea_palm_juvenile,oar_weed_adult,oar_weed_juvenile,Coronado_urchin,stalked_tunicate,blue_banded_goby,blackeye_goby,island_kelpfish,Sargassum_horneri_adult,Sargassum_horneri_juvenile,California_hydrocoral,white_spotted_rose_anemone,California_spiny_lobster,California_brown_sea_hare,threaded_abalone,white_abalone,gumboot_chiton,wakame_adult,wakame_juvenile,coralline_sculpin,top_smelt,tubesnout,kelp_surfperch,speckled_sanddab,sculpin_spp,kelpfish_spp,rainbow_surfperch,snubnose_sculpin,painted_greenling,rockfish_YOY,gopher_rockfish_adult,copper_rockfish_adult,vermillion_rockfish_adult,bocaccio_juvenile,lavender_sculpin,white_surfperch,brown_rockfish_adult,spotfin_sculpin,scalyhead_sculpin,surfperch_spp_adult,sailfin_sculpin,surfperch_spp_juvenile,giant_kelpfish_adult,sharpnose_surfperch,kelp_greenling_juvenile,soupfin_shark,kelp_greenling_female,swell_shark,giant_kelpfish_juvenile,kelp_greenling_male,larval_fish_spp,cusk_eel_spp,bat_ray,fringehead_spp,jack_mackerel,c_o_turbot,Pacific_angel_shark,black_rockfish_adult,stripedfin_ronquil,grass_rockfish_adult,ronquil_spp,kelp_greenling_adult,sharpnose_white_surfperch,gunnel_spp,clingfish_spp,Pacific_sardine,shiner_surfperch,crevice_kelpfish,zebra_perch,spotted_kelpfish,bocaccio_adult,prickleback_spp,yellowtail,yellowfin_fringehead,sanddab_spp,Pacific_barracuda,rockfish_spp_adult,horn_shark,California_moray_eel,zebra_goby,northern_ronquil,Pacific_bonito,surfperch_spp,Pacific_mackerel,onespot_fringehead,finescale_triggerfish_adult,sargo,black_croaker,barred_sand_bass,baitfish_unidentified,orangethroat_pikeblenny,thornback_ray,top_smelt_adult,top_smelt_juvenile,northern_anchovy,halfbanded_rockfish_adult,white_seabass,plain_cardinalfish,leopard_shark,giant_black_sea_bass_adult,California_halibut,swallowtail_damselfish,tubesnout_juvenile,wolf_eel,goby_spp,monkeyface_prickleback,broadnose_sevengill_shark,sarcastic_fringehead,plainfin_midshipman,walleye_surfperch,ocean_sunfish,shannon_index,simpson_index,articulated_coralline_algae,La_Jolla_cup_coral,orange_cup_coral,bladder_chain_kelp,ornate_tube_worm,encrusting_coralline_algae,sea_tongue,brown_algae,red_algae,scaled_wormsnail,tunicates,Misc_Inverts,acid_weed,Bare_Substrate,bryozoans,green_algae,club_tipped_anemone,Southern_staghorn_bryozoan,agar_weed,oar_weed_cover,colonial_sand_tube_worm,miscellaneous_plants,sponges,aggregated_red_sea_cucumber,Southern_sea_palm_cover,giant_kelp_cover,California_sea_palm_cover
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Outside,TRUE,58.27530637524999,0,0,0,5.060278075778147,0,0,0,39.19363631191794,14.476057445913112,91.34505822557598,0.754363566969053,36.879823339364805,0,17.718254669795844,1.4987638147694866,0,0,0.28981491211006416,0.13877879736594187,0.4680377941320756,160.19631283548185,0,426.2944861644243,239.03644551799135,187.2580406464329,219.21609958120112,93.73696440468046,18.18629246392792,0.3988433321839087,1.2908424537529666,1.7031353403370812,0,0,0.14930919021616698,3.272097040632174,0.30992410200464093,0,0.32140374768753105,0.7469972105393653,0,0.2907806669466197,0.6978628594519874,0.17424001007380077,0.0183657475279456,0,0.1075104291805276,1.1686772527755032,0,0,0,10.64998938331022,4.9204553767216606,5.729534006588558,5.487875624489142,0,4.279106314558727,0.8830074442623504,436.9444755477345,243.95690089471304,192.98757465302148,224.70397520569023,93.73696440468046,19.06929990819027,0,0,0.29,0,0.04,0,0,5.87,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.00525,0,0,0,5e-4,0,0.004665,1.65e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6205888710759364,0.8910627400445132,5.16,1.16,2.5,9.83,0.5,14,1.5,0,20.16,0,10.66,13.16,0.33,4.83,21,0,2.16,2,0,0,0.33,0,9.16,0,0,25.33,3.5
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Outside,TRUE,44.6789358432,0,0,0,15.990478719458944,0,0,0,28.305150435618845,10.11075586306771,201.51305206605917,8.53920218957858,18.4399116696824,0,13.535315353292276,3.767215522278794,0,0,0.09660496800424297,0.9950438395771092,1.9536631704033176,42.20689026220578,0,390.1322199024271,123.45005218507804,266.68216771734916,96.70988024835552,214.81451361749365,15.488978523695591,0.6663441839559929,0.9883270128031972,0.7254870657805768,0.4778993106375204,0,0.5983593863550151,0,0.4942541983735233,0.38473839566691537,0,0.5390829869392418,0,3.254779472802125,1.11658057512318,0.01437480083108856,0.07952368679600447,0.394252474873136,0.0645708283366532,0.3856634934159161,0,0.7135523774318139,0,10.8977902501219,5.203306522276882,5.694483727845019,3.3014907736306003,1.1914516880693342,5.229874605261361,1.1749731831606047,401.0300101525491,128.65335870735493,272.37665144519417,100.01137102198612,216.005965305563,16.6639517068562,0,0,0.2,0.29,0.12,0,0,3.58,0,0.12,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.025,0,0.005,0,0,5e-4,0.003,5e-4,0.01166499999999999,0.0025,0.001,0,0,0,5e-4,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.181373031691118,0.8476547811897845,2.83,0.66,0.66,3.16,0.33,12.33,0.16,0,31.16,0,19.5,17.16,0,5,18.33,0.16,0.66,1,0,0.33,1.66,0.33,1,0,0,10,0.33
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2007,Outside,TRUE,48.804006081,0.02857195906159668,0,0,10.120556151556292,0,0,0,50.30101613101856,10.971654754854695,187.0817141927324,0.606567221872723,57.624723967757504,0,14.48329108697038,4.583540016473755,0,0,0.3724838847609219,0.5929770445566711,1.7618961770460584,35.28530384148087,0,422.6183025111424,126.97347820784556,295.6448243032969,107.05101476367132,192.8647984756356,16.273759223078034,0.629411779248288,2.333411051729844,0.562482353275298,0.2389496553187602,0,0.6412809882619945,0,0.5534960007631959,0.07302229600750496,0.32140374768753105,0.7930153472248429,0,2.8250825088898925,0.7823488393818055,0,0.24338575574131965,0.00402404795061963,0.46375334189239775,2.2596350917507646,0,0,0,12.72470280512406,6.073450923509754,6.6512518816143045,7.374981921822672,0.2389496553187602,3.9278634479711423,1.182907780011484,435.3430053162665,133.04692913135528,302.2960761849112,114.425996685494,193.10374813095433,17.456667003089517,0,0,0.29,0,0.25,0.08,0,6.29,0,0.16,0,0,0,0,0.01,0,0,0,0,0,0,0,5e-4,0,0,0.0555,0,0,0,5e-4,0.001,0.0055,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,7.5e-4,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355,5e-4,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9168410362028014,0.8752202004136294,2.5,1,0.5,3.33,1.33,7.33,5.83,0.16,33.66,0,9,28.99,0.5,11.83,22.33,0,1.83,1.66,0,0.83,9.16,0,4.16,0,0,27.16,7.16
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2008,Outside,TRUE,53.17830990899999,0,0,0,1.619288984249007,0.766476398249135,0,0,77.6244868766526,19.654382278939355,16.27672439077204,0.2712726594977952,0,0,10.86061311254952,7.21977352560653,0,0,1.1095004632083278,0.7491457530694918,1.195345559197397,88.56310120650596,0,279.08842111749715,206.56206439707023,72.52635672042689,189.3372362078044,24.516916328945857,12.055958671746918,0.8626029253269583,1.1925874733829422,0.31858987042462955,0,0.06056759308953764,0.7446568852769062,0,0.3429091821426393,0.01069969985008641,0.5610010800973048,0.21284991303571263,0,1.552845403877657,0.4180792949923161,0.031280751611521,0.3324268866441084,0.07738982904390321,0.05704377831216162,1.1686772527755032,0,0.11802115005893876,0,8.062228969942826,4.41378607283557,3.6484428971072567,4.315973846394698,0.11802115005893876,2.391441114408071,1.2367928590811186,287.15065008744,210.97585046990585,76.17479961753415,193.6532100541991,24.63493747900479,13.292751530828037,0,0,0.29,1.41,0.29,0.33,0,6.16,0,0.08,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.0245,0,0.00925,0,0,0,0.002,5e-4,0.009375,0.001375,5e-4,0,0,0.006,5e-4,0,0,0,0,0.00125,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9857254652316754,0.8550042165505926,6.5,0.83,1.16,1,3.5,10.33,7.16,0,56.33,0.33,14.66,8,1,2.83,41.33,0.5,2,0,0,5.66,3.5,0,5.33,0,0.83,35.16,12
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2009,Outside,TRUE,45.8750875295,0.1745797195988838,0,0,1.619288984249007,20.17284492443045,0,0,137.19801990315503,16.600512463853043,25.45373045923932,4.205915033809383,0,0,13.720968951062702,16.507448807147846,0,0,0.7991103318188139,1.436156525494538,0.6370494032354451,24.49531374616886,0,308.89602678276333,215.9582041345393,92.93782264822404,200.8850903536752,47.603250825691084,14.53259807389703,2.3975466127080978,0.9426861891876984,1.2477734901960211,0.19115972425500816,0.00840363734154063,0.5598322764623679,0,0.6531416162473718,0.2835576786861715,0.3576567229148484,0.09514209938612664,0.3698633839156243,1.5741317224787126,0.6696595390770852,0.07797240450802585,0.3497896062119109,0.02958594562571295,0.36393108449861905,2.2121062955107953,0,0,0,12.383940029211738,6.45334236869908,5.930597660512658,5.787531795498017,0.19115972425500816,3.2765878759952174,3.128660633463495,321.27996681197504,222.4115465032384,98.86842030873667,206.6726221491732,47.79441054994609,17.661258707360528,0,0,0.45,0.2,0.62,0.29,0,3,0,0.08,0,0,0,0,0.01,0,0.00416666688397527,0,0,0,0,0,0,0,0.001,0.0035,0,0,0,0.0015,0.0011,0.0064,0.015995,0,0,0,0,0,0,0,0,5e-4,0,0,0,5e-4,0,0,0,0,0,8.3e-4,0,0.04125,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153584642939403,0.8673014633652267,7.5,0.33,2.16,1,0.83,20.66,14.5,0,67,0.16,20.16,16.83,0.33,4,33.16,0.33,1.66,3,0,8.33,0.33,0,4,0,0,39.5,18.16
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2010,Outside,TRUE,42.5231500613,0,0,0,5.86992256790265,1.0784786394293002,0,0,149.10241301444646,15.101767729963116,312.85727669051937,10.710525332468254,9.2199558348412,0,20.808051311233484,9.203171715046542,0,0,0.2294694322179338,1.606928726306121,1.0768002635194367,42.06517088532827,0,621.4530822045222,254.46795128269488,366.9851309218273,213.44722226928772,334.3779024643403,21.88485157475292,0.3894227435180089,5.502148246308313,1.8442262465027632,0.6356060831479021,0.05370326587272338,1.1018517077645693,1.636048520316087,0.209433481954336,0.3710490024144136,1.0464567712508552,2.2477052222412786,0,4.48491058608365,0,0.5585527849910529,0.3964318982863821,0.2457077412007423,0.15754642283387937,0,0,0,0,20.880800724686956,13.03055376856075,7.850246956126208,11.953637882774382,0.6356060831479021,7.134147748301276,1.1574090104633978,642.333882929209,267.4985050512556,374.8353778779535,225.4008601520621,335.0135085474882,23.04226058521632,0.04,0,0.33,0.08,0.66,0.08,0,5.12,0,0.04,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,5e-4,0.00533,0.00225,0.02132999999999999,0.02765999999999999,0.0015,0,0,0.06,5e-4,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,5e-4,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2097644117112196,0.8754406138568509,5.5,0.66,2,0.66,1.66,10.66,5.5,0,42,0.16,20,17.33,0,5.5,36.66,0,1.5,0.33,0,5.5,14.33,0,6.5,0,0,38.5,6.16
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2011,Outside,TRUE,53.9387266791,0,0,0,4.048222460622518,0,0,0,129.42909785250953,18.47979621640941,110.55380712620702,4.571541751253648,18.4399116696824,0,12.877822044470706,17.343649009170257,0,0,0,1.7357663336493847,1.1192498628288308,38.56269920623922,0,411.1002902121429,227.04859487432464,184.05169533781824,190.51981573578067,134.2047642202803,13.997071907299537,0.44610746727322304,3.589234924308063,1.1780468376906894,0.2389496553187602,0.07990544826010981,1.0178768662952142,0,0.8716629655508638,0.4907302595038868,0.9696727380039843,0.67755531167547,0.1524012149854371,3.0718565658107195,1.0341513398291098,0.9493538780771256,1.5164418709542251,0.5664011186492409,0.13038577899922657,0,0,0.9187369666504042,0,17.899471207835752,9.987749181026782,7.911722026808971,7.642677905232757,1.1576866219691644,6.83198236973262,2.267124310901212,428.99976141997865,237.03634405535144,191.9634173646272,198.16249364101344,135.36245084224947,16.26419621820075,0,0.25,0.45,0.25,0.37,2.16,0,3.12,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,5e-4,0.022,0,0.004625,0,0,5e-4,0.001,5e-4,0.01233,0.00333,0.0015,0,0,6.65e-4,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14116170872035,0.8668907228165643,8.5,0.83,1,0.33,4,13.33,20.5,2.33,76.83,0.16,11.5,14.82,0.33,1.5,44.83,0.16,2.5,0.83,0,16.83,11.66,0.16,3,0,0,38.5,16.33
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2012,Outside,TRUE,61.8099303696,0,0,0,6.679567060027154,1.332083040401394,0,0,211.701583654696,13.785344371418592,28.281413561335967,6.703373883965181,0,0,10.556326049870805,9.125426225809436,0,0,0.3916374863503247,1.613670916451008,0.7099372553706664,31.750070416503192,0,384.4403642917997,291.91536257874134,92.52500171305836,265.64028602939663,45.72388458756159,11.266263305241472,0.355159413008255,1.842459181880296,0.9418007069851988,1.075273448934421,0.00606746434628418,1.355763609474198,0,1.0165234775382006,0.06068319248023008,0.6428074953750621,0.35723475092542023,0,3.906499623093623,0.7238528123909835,5.059327384474491,0.3761555223687966,0.8554228848792003,0.2981733798354089,0,0,0.06929878669741338,0,18.94250313468748,7.662388335164749,11.280114799522734,5.444306588821868,1.1445722356318342,5.922614035212834,6.431010275020947,403.3828674264872,299.5777509139061,103.8051165125811,271.0845926182185,46.868456823193426,17.69727358026242,0,0,0.58,0.2,0.5,0.62,0,3.04,0,0.58,0,0,0,0,0.02,0,0.00555555569007993,0,0,0,0,0,0,0.039,0.0015,0.0085,0,0,0.001125,0,0.00175,0.013875,0.013875,0.001665,0,0,0,0,0,5e-4,0,0,0,0,0,5e-4,0,0,0,0,0,7.5e-4,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200261181805197,0.7860894994955321,2.5,0,0,0.16,1,3,10.66,0,53.5,0,2.5,5.83,0,28.83,32.83,0,0.16,0,0,6,5.33,0,1.66,0,0,12,5.5
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2013,Outside,TRUE,52.5069051354,0,0,0,6.679567060027154,0.6721919441861046,0,0,130.21515100394515,10.88748611172793,31.293361693378095,1.3422287764849947,0,0,20.31961224583015,28.31687353199163,0,0,0,1.766552353703724,2.067257414789474,166.27222859837664,0,452.33941586984105,365.7996996820874,86.53971618775368,314.726624718263,62.719016355558445,22.386869660619627,0.8004080429747014,1.6459302024797309,1.188578546329048,0.4778993106375204,0.06713445444657913,1.1962465624468128,0,0.29516829866294414,9.431242310479616e-4,0,0.7056244787700283,0,3.624071135905227,1.0058863730226035,13.264904677045998,3.363528469901499,0.35134314224840263,0.1014188573472422,0,0,0,0,28.089085676449383,6.376989896747365,21.712095779702015,4.9049331018194415,0.4778993106375204,8.34577224530878,14.360481018683643,480.4285015462904,372.1766895788347,108.2518119674557,319.63155782008243,63.19691566619596,36.747350679303274,0,0,0.45,0.75,0.58,0.58,0,1.29,0,0.37,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.009625,5e-4,0,5e-4,0,8.3e-4,0.0202,0.121195,0,0,0,7.5e-4,5e-4,0,0,0,0,0,0,0,5e-4,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8874671207311766,0.8685825012687819,8,0,2,0,2.16,11.5,2,0.33,56,0,18.33,29.66,0.16,16.16,34.66,0.16,1.66,1.16,0.16,15.66,8.66,1.16,1.66,0,1.16,22.83,5.83
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2014,Outside,TRUE,59.8635347128,0,0,0,7.489211552151657,24.79520515395503,0,0,111.60483964144412,0.03963669527370749,152.21372944028192,278.2958346411906,9.2199558348412,0,13.390454343865766,10.980564211667213,0,0,0,2.9206147735333,5.41096895983775,0,0.00217053342463238,676.2267204942669,424.723326392551,251.5033941017159,143.9288930428245,444.4129136000977,18.801423303703515,1.312041519780381,2.881950066088429,2.6382032443937535,3.405032588292333,0.18108375270634933,1.0706263983712525,0,0.10454548236056076,0.02417359615231325,0.6428074953750621,3.648385161850999,0,2.6043511902099956,1.2667424216842214,3.758357485609621,0.3778845141847492,0.12443625898885946,0.9086469493326192,1.7343617851965265,0,0.16159292563452704,0,26.845222836212553,16.046268634853647,10.798954201358905,13.706064853314992,3.56662551392686,4.397587981220139,5.174944487750563,703.0719433304795,440.76959502740465,262.3023483030748,157.63495789613953,447.97953911402453,23.97636779145408,0,0,0.79,0.33,1.58,1.16,0,1.25,0,0.04,0,0,0,0,0.04,0,0.00694444449618459,0,0,0,0,0,0,0.01083,0,0.019125,0,0,0,0,0,0.00525,0.015375,0,0,0,0.0015,7.5e-4,0,0,0,0,0,0,0,5e-4,0,0,5e-4,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7337942944006537,0.8598746360098948,9.16,1.5,2.16,0.83,3,21.16,3.83,0.33,58.33,1,7.16,9.83,0,7,33.5,0,2.66,2.16,0,12.83,1.33,0,5.33,0,0,30.33,7.5
