site_number,island_code,island_name,site_code,site_name,survey_year,NMDS1,NMDS2,reserve_status,reference
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2019,-0.4917998406748674,-0.06408762348817768,Outside,TRUE
4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2019,-0.6679606902815898,-0.12009915249981208,Outside,TRUE
22,SR,Santa Rosa Island,CP,Cluster Point,2019,-0.7003387240790347,0.11511503585864197,Outside,TRUE
23,SR,Santa Rosa Island,TC,Trancion Canyon,2019,-0.732811708551248,0.05395744452718086,Inside,TRUE
24,SR,Santa Rosa Island,CSAW,Chickasaw,2019,-0.9308786031992916,0.1872345168672975,Inside,TRUE
25,SR,Santa Rosa Island,SP,South Point,2019,-0.5814089877147957,0.560769458279422,Inside,TRUE
9,SC,Santa Cruz Island,SA,Scorpion Anchorage,2019,0.0490986435084949,0.270408230004804,Inside,TRUE
26,SC,Santa Cruz Island,DPM,Devil's Peak Member,2019,-0.02732803180464355,-0.13456736509482675,Outside,TRUE
27,SC,Santa Cruz Island,PP,Potato Pasture,2019,0.11653811695009822,0.13855386083687332,Inside,TRUE
28,SC,Santa Cruz Island,CVP,Cavern Point,2019,0.22562943250429418,0.1908201391942743,Inside,TRUE
29,SC,Santa Cruz Island,LS,Little Scorpion,2019,-0.11867259843935811,-0.11722287373417235,Outside,TRUE
30,SC,Santa Cruz Island,PRF,Pedro Reef,2019,0.1358954457233527,-0.676680029168866,Outside,TRUE
11,AN,Anacapa Island,AR,Admiral's Reef,2019,0.17084161868763312,-0.11875700039164157,Outside,TRUE
12,AN,Anacapa Island,CC,Cathedral Cove,2019,0.3887307647335607,0.44420274532146264,Inside,TRUE
13,AN,Anacapa Island,LC,Landing Cove,2019,0.18610341193934782,0.35911052350424283,Inside,TRUE
32,AN,Anacapa Island,EFC,East Fish Camp,2019,-0.25064668977525933,-0.659269619877053,Outside,TRUE
33,AN,Anacapa Island,BSBR,Black Sea Bass Reef,2019,0.4235613342904046,0.13876163636587382,Inside,TRUE
34,AN,Anacapa Island,LH,Lighthouse,2019,0.37500109942711907,-0.18997550420188822,Outside,TRUE
14,SB,Santa Barbara Island,SESL,SE Sea Lion Rookery,2019,0.6303929133137282,0.5091742559685255,Inside,TRUE
15,SB,Santa Barbara Island,AP,Arch Point,2019,0.2563678368584152,-0.3682336428273003,Outside,TRUE
16,SB,Santa Barbara Island,CAT,Cat Canyon,2019,0.48900288346791515,-0.22910110441938453,Outside,TRUE
35,SB,Santa Barbara Island,WA,Webster's Arch,2019,-0.074347610392457,-0.29412163613246356,Outside,TRUE
36,SB,Santa Barbara Island,GC,Graveyard Canyon,2019,0.7674510597026832,0.001930275251804299,Inside,TRUE
37,SB,Santa Barbara Island,SER,Southeast Reef,2019,0.3615789238054983,0.0020774298551829865,Inside,TRUE
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2018,-0.4519786474630408,-0.06458493502810292,Outside,TRUE
4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2018,-0.6639473657137807,-0.08174623660706493,Outside,TRUE
22,SR,Santa Rosa Island,CP,Cluster Point,2018,-0.8200686599003596,0.1240153235387146,Outside,TRUE
23,SR,Santa Rosa Island,TC,Trancion Canyon,2018,-0.6520606121335546,0.17286584510698821,Inside,TRUE
24,SR,Santa Rosa Island,CSAW,Chickasaw,2018,-0.7003168174628635,0.39707699426630555,Inside,TRUE
25,SR,Santa Rosa Island,SP,South Point,2018,-0.4988527436998506,0.44649928887097695,Inside,TRUE
9,SC,Santa Cruz Island,SA,Scorpion Anchorage,2018,0.23845811863864,0.49512621007667373,Inside,TRUE
26,SC,Santa Cruz Island,DPM,Devil's Peak Member,2018,-0.0461418105449441,-0.17222696635958237,Outside,TRUE
27,SC,Santa Cruz Island,PP,Potato Pasture,2018,0.272670794843608,0.27060468393011483,Inside,TRUE
28,SC,Santa Cruz Island,CVP,Cavern Point,2018,0.18398219333800908,-0.14538647017214734,Inside,TRUE
29,SC,Santa Cruz Island,LS,Little Scorpion,2018,-0.009206431474704594,-0.35236668250000747,Outside,TRUE
30,SC,Santa Cruz Island,PRF,Pedro Reef,2018,-0.39101936574744933,-0.6381908311159116,Outside,TRUE
11,AN,Anacapa Island,AR,Admiral's Reef,2018,0.09444883648634592,-0.23928365974898133,Outside,TRUE
12,AN,Anacapa Island,CC,Cathedral Cove,2018,0.5639225926431696,0.06208625254648382,Inside,TRUE
