site_number,island_code,island_name,site_code,site_name,survey_year,date,scientific_name,common_name,total_count,mean_density_sqm,total_area_surveyed_sqm,mean_depth,survey_type,reserve_status,reference,reserve_year,latitude,longitude
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,articulated coralline algae,articulated coralline algae,12.95,2.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Astrangia lajollaensis,La Jolla cup coral,1,0.2,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Balanophyllia elegans,orange cup coral,5,1,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Cobble,Cobble,61.95,12.39,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Cystoseira,bladder chain kelp,2,0.4,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Diopatra ornata,ornate tube worm,22.95,4.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,encrusting coralline algae,encrusting coralline algae,35.95,7.19,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Gigartina,sea tongue,1,0.2,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Phaeophyta,brown algae (miscellaneous),17.95,3.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Rhodophyta,red algae (miscellaneous),262.95000000000005,52.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Rock,Rock,312.95000000000005,62.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Sand,Sand,125,25,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Serpulorbis squamigerus,scaled wormsnail,0,0,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-08-18,Tunicata,tunicates,12.95,2.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,articulated coralline algae,articulated coralline algae,9.975999999999999,3.44,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Astrangia lajollaensis,La Jolla cup coral,0.986,0.34,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Balanophyllia elegans,orange cup coral,2.987,1.03,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Cobble,Cobble,47.995,16.55,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Cystoseira,bladder chain kelp,3.9730000000000003,1.37,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Diopatra ornata,ornate tube worm,22.997,7.93,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,encrusting coralline algae,encrusting coralline algae,96.97599999999998,33.44,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Gigartina,sea tongue,0,0,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Misc Inverts,Misc Inverts,1.972,0.68,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Phaeophyta,brown algae (miscellaneous),261.986,90.34,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Rhodophyta,red algae (miscellaneous),148.97299999999998,51.37,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Rock,Rock,230.985,79.65,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Sand,Sand,5.974,2.06,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-26,Serpulorbis squamigerus,scaled wormsnail,0,0,2.9,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,articulated coralline algae,articulated coralline algae,17.95,3.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Astrangia lajollaensis,La Jolla cup coral,0,0,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Balanophyllia elegans,orange cup coral,10,2,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Cobble,Cobble,12.95,2.59,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Cystoseira,bladder chain kelp,11,2.2,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Desmarestia,acid weed,8,1.6,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Diopatra ornata,ornate tube worm,46.95,9.39,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,encrusting coralline algae,encrusting coralline algae,188.95,37.79,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Gigartina,sea tongue,8,1.6,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Misc Inverts,Misc Inverts,70.95,14.19,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Phaeophyta,brown algae (miscellaneous),60,12,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Rhodophyta,red algae (miscellaneous),148.95,29.79,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Rock,Rock,460,92,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Sand,Sand,27,5.4,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-12,Serpulorbis squamigerus,scaled wormsnail,1,0.2,5,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,articulated coralline algae,articulated coralline algae,40.9,4.09,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Astrangia lajollaensis,La Jolla cup coral,11,1.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Balanophyllia elegans,orange cup coral,44,4.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
